Best_Fitness,Generations_Count,Converged_Count
9.858040128640211E20,100,0
1.2097314568850905E22,100,0
1.4572529168868018E22,100,0
1.1798202270310493E21,100,0
1.6798426060152002E22,100,0
2.918537944700952E24,100,0
5.815799507498444E24,100,0
5.539537489422111E20,100,0
1.865154102205981E24,100,0
1.5730052895849245E19,100,0
3.0707129484813346E23,100,0
8.316999277808215E25,100,0
3.0328480372419046E22,100,0
5.480230501378899E24,100,0
7.563775323160833E24,100,0
5.47745715335314E21,100,0
8.770605868839728E16,100,0
6.192068826998042E22,100,0
1.2934440236010262E22,100,0
2.3047517347016255E20,100,0
2.5263388863562505E26,100,0
4.2138963198730424E23,100,0
2.2017006192669053E21,100,0
1.0414485646985776E20,100,0
5.2075271152994884E20,100,0
2.453261728997617E23,100,0
5.718603380614627E21,100,0
8.710301630439297E22,100,0
1.984844190878517E25,100,0
2.450001268038203E21,100,0